Institutions,Latitude,Longitude,Location,Email,Website,Abschnitte,Abteilungen,Gruppen,Klassen,Unterklassen,Schlüssel
Südharz Klinikum Nordhausen gGmbH - SHK,51.516227978678,10.7954325759949,Nordhausen,info@shk-ndh.de,https://www.shk-ndh.de/,R,86.0,1.0,0.0,1.0,86.10.1
Volkssolidarität e.V. KV Schmalkalden-Meiningen,50.5731332380655,10.4154811654971,Meiningen,info@vs-sm.de,https://www.vs-sm.de/,R,88.0,NA,NA,NA,NA
persona service AG & Co. KG,50.9772707180283,11.0415770739854,Erfurt,erfurt@persona.de,https://www.persona.de/jobboerse,O,78.0,1.0,0.0,0.0,78.10.0
KMG Klinikum Sömmerda,51.163129278363,11.1218503448617,Sömmerda,d.klebingat@kmg-kliniken.de,https://kmg-kliniken.de/kmg-klinikum-soemmerda,R,86.0,1.0,0.0,1.0,86.10.1
Novalis Diakonieverein e.V.,51.2857737343352,10.7275045143269,Ebeleben,info@novalis-diakonie.de,https://www.novalis-diakonie.de/,R,87.0,3.0,0.0,2.0,87.30.2
Sophien- und Hufeland-Klinikum gGmbH,50.9617590971557,11.3230369292657,Weimar,info@klinikum-weimar.de,https://www.klinikum-weimar.de/,R,86.0,1.0,0.0,1.0,86.10.1
AWO RV Mitte-West-Thüringen e.V.,50.9878512586303,11.3021182372309,Weimar,info@awo-mittewest-thueringen.de,https://www.awo-mittewest-thueringen.de/,R,88.0,NA,NA,NA,NA
Johanniter-Unfall-Hilfe e.V. Landesverband Sachsen-Anhalt-Thüringen,50.9683325812933,11.0303910985843,Erfurt,Website,https://www.johanniter.de/juh/lv-sat/,R,86.0,9.0,4.0,1.0,86.94.1
Lebenshilfe im Alter GmbH,50.5803150723912,10.4190631134455,Meiningen,info@lebenshilfe-suedthueringen.de,https://lebenshilfe-im-alter.de/,R,87.0,3.0,0.0,1.0,87.30.1
Schmidt GmbH Pflege mit Niveau,50.8708284532345,12.0371180217402,Gera,gera@schmidt-pflege.de,https://www.schmidt-pflege.de/,R,86.0,9.0,4.0,1.0,86.94.1
AWO Seniorenzentrum,50.9536155331417,11.0597209392535,Erfurt,seniorenpflegeheim.ef@awo-thueringen.de,https://www.pflegeheim-erfurt.de/,R,87.0,3.0,0.0,1.0,87.30.1
Augusta-Viktoria-Stift,50.9822371454009,11.0369662292909,Erfurt,info@augusta-viktoria-stift.de,https://www.augusta-viktoria-stift.de/,R,87.0,3.0,0.0,1.0,87.30.1
DRK Kreisverband Saale-Orla e.V.,50.5963962409053,11.7890163820606,Schleiz,info@drk-sok.de,https://www.drk-sok.de/,R,86.0,9.0,2.0,0.0,86.92.0
Gräfliche Kliniken Moritz Klinik GmbH,50.9185970492231,11.8604016064556,Bad Klosterlausnitz,zentrale@moritz-klinik.de,https://www.moritz-klinik.de/,R,86.0,1.0,0.0,1.0,86.10.1
Johanniter Seniorenhäuser GmbH Diakoniezentrum Bethesda Eisenberg,50.9628578118121,11.898682298721,Eisenberg,Website,https://www.johanniter.de/johanniter-seniorenhaeuser/standorte/diakoniezentrum-bethesda-eisenberg/,R,87.0,3.0,0.0,1.0,87.30.1
Residenz Ambiente Wohnen im Alter GmbH,51.2728417388838,11.0296019524693,Erfurt,erfurt@residenz-ambiente.de,https://erfurt.residenz-ambiente.de/,R,87.0,3.0,0.0,1.0,87.30.1
Seniorenpflege Bad Salzungen GmbH,50.8302805678046,10.2274913663937,Bad Salzungen,info@klinikum-badsalzungen.de,https://www.klinikum-badsalzungen.de/seniorenpflege,R,87.0,3.0,0.0,1.0,87.30.1
ASB Regionalverband Ostthüringen e.V.,50.8526171094185,12.073766237062,Gera,Website,https://www.asb-gera.de/,R,88.0,NA,NA,NA,NA
AWO Saale-Orla-Kreis,50.7070180226445,11.5805286029698,Pößneck,info@awo-sok.de,https://www.awo-sok.de/die-awo-sok/struktur/awo-sozialmanagement-saale-orla-kreis-ggmbh,R,88.0,NA,NA,NA,NA
AZURIT Rohr GmbH Betreiber v. Altenpflegeheimen,50.9805690759816,11.0466995218779,Erfurt,szerfurt@azurit-gruppe.de,https://www.azurit-gruppe.de/senioren-pflegezentren/erfurt/,R,88.0,NA,NA,NA,NA
